corpus,sample,dataset,token,before,word,after
CED,D1CCHAPM,ity,vanity,urely the world is full of ,vanitie,", a woman must # take heed"
CED,D1CCHAPM,ity,vanity,t what haue we here? what ,vanities, # haue we here? [$ (^Host
CED,D1CCHAPM,ity,vanity,g greater then my heate of ,vanity,", hath quite expelled. [$ ("
CED,D1CKNAVE,ity,chastity, saue your Honour and her ,chastitie,. [$ (^King.^) $] We take
CED,D1CKNAVE,ity,commodity,t such as yeeld you some ,commoditie,: I meane such as will se
CED,D1CKNAVE,ity,deity,n thus to wrong his sacred ,Deitie,. Now fie vpon thee monster
CED,D1CKNAVE,ity,equity, God of trueth and perfect ,equitie,", Which will reuenge wrong"
CED,D1CKNAVE,ity,extremity,Makes me amazed in these ,extremities,", The King commands me o"
CED,D1CKNAVE,ity,hospitality,God willing) keepe such ,hospitalitie," to my death, as my stat"
CED,D1CKNAVE,ity,hospitality,t (^Honesty^) dines with ,Hospitality," to day, # [$ (^ (\Exeun"
CED,D1CKNAVE,ity,hospitality,er in his lyfe time gaue ,hospitality," to all strangers, and D"
CED,D1CKNAVE,ity,humility,", The perfect patterne of ",humilitie,". Thou man of worth, or c"
CED,D1CKNAVE,ity,necessity,vse it but for a present ,necessitie,", If you will vndertake t"
CED,D1CKNAVE,ity,quantity,icient for fiue times the ,quantitie,". He is my neere kinsman,"
CED,D1CLYLY,ity,deity,"fel that, which with their ",deitie," the Gods cannot resist, an"
CED,D1CLYLY,ity,dignity,"n wisdome, as they doe in ",dignitie,. [$ (^Alex.^) $] It is so
CED,D1CLYLY,ity,dignity,re not inferiour to their ,dignities,. And then iudge (^Hephes
CED,D1CLYLY,ity,diversity,For as in garden knottes ,diuersitie, of odours make a more sw
CED,D1CLYLY,ity,extremity, farre exceede others in ,extremitie,", as their callinges doe "
CED,D1CLYLY,ity,gravity,", I pray thee, that seuere ",grauity," # set aside, what do you "
CED,D1CLYLY,ity,quality,"mpaspe^) , # for the good ",qualities, I know in (^Apelles^) an
CED,D1CLYLY,ity,quality,^) $] You shall see their ,qualities,: Daunce sirha. [$ (^Then
CED,D1CPEELE,ity,charity,u: if you do any thing for ,charity,", helpe me; if for neighbo"
CED,D1CPEELE,ity,deformity,owrie aunswerable to her ,deformitie,. [$ (^Old man:^) $] Well
CED,D1CPEELE,ity,hospitality, faith Sir vnlesse your ,hospitalitie," doe releeue vs, wee are"
CED,D1CPEELE,ity,possibility,ue a thousand pounds in ,possibilitie,", and things fitting thy"
CED,D2CBARRE,ity,activity,er head; thus: And by her ,actiuity, she got it Crosse her sho
CED,D2CBARRE,ity,authority,] must you? Come you with ,authority,", or do you come To sue h"
CED,D2CBARRE,ity,posterity, Zart will you vndoe your ,posterity,. Will you sir vndoe your
CED,D2CBARRE,ity,posterity,. Will you sir vndoe your ,posterity,? I can but kill my broth
CED,D2CBARRE,ity,virginity,th lost The same which my ,Virginity," aspyr'd, I will be true "
CED,D2CHEYWO,ity,charity,f she haue either loue or ,charitie,. [$ (^Mis. Ar.^) $] Heare
CED,D2CHEYWO,ity,chastity,e the bands of modestie & ,chastitie,", First will (^I^) bequea"
CED,D2CHEYWO,ity,deformity,"ept his loue, gold hides ",deformitie,. Gold can make limping (
